DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,LOCATION,Cross Street,LAT,LON
220228303,08/02/2023 12:00:00 AM,08/02/2023 12:00:00 AM,1727,13,Newton,693,2,900,SEX OFFENSES,5635 6074,23,F,W,843,PARK/PLAYGROUND,101,HAND GUN,IC,Invest Cont,900,625,1055 VENICE ST,FIGUEROA ST,33.75458,-118.53718
208572173,08/16/2020 12:00:00 AM,08/13/2020 12:00:00 AM,190,1,Central,1621,2,320,BURGLARY FROM VEHICLE,2425 1824,68,F,H,475,STREET,104,RIFLE,AO,Adult Other,320,,6003 FIGUEROA ST,BROADWAY,33.880267,-118.421759
215127468,02/21/2020 12:00:00 AM,02/19/2020 12:00:00 AM,1458,1,Central,307,1,110,CRIMINAL HOMICIDE,2251 3223,67,F,F,494,SIDEWALK,201,OTHER CUTTING INSTRUMENT,IC,Invest Cont,110,121,5829 FLORENCE ST,VERMONT AVE,34.341298,-118.002347
229371901,02/27/2024 12:00:00 AM,02/26/2024 12:00:00 AM,1000,21,Topanga,2038,2,900,SEX OFFENSES,2134 3005,21,F,W,385,"VEHICLE, PASSENGER/TRUCK",103,REVOLVER,AA,Adult Arrest,900,,7034 PICO ST,,33.84939,-118.500642
232503324,07/17/2021 12:00:00 AM,07/17/2021 12:00:00 AM,23,2,Rampart,698,2,220,ATTEMPTED ROBBERY,4026 6606,75,F,W,157,PARK/PLAYGROUND,0,UNKNOWN,AO,Adult Other,220,,7706 FIGUEROA ST,,34.327834,-118.676995
238282184,05/16/2021 12:00:00 AM,05/13/2021 12:00:00 AM,2215,7,Wilshire,1591,2,220,ATTEMPTED ROBBERY,8569 9951,12,X,K,587,"VEHICLE, PASSENGER/TRUCK",101,HAND GUN,IC,Invest Cont,220,110,4673 BROADWAY ST,,33.736344,-117.966298
227188470,04/02/2021 12:00:00 AM,04/02/2021 12:00:00 AM,2276,10,West Valley,1696,2,930,CRIMINAL THREATS,8802 9772,33,F,K,680,"SCHOOL, PUBLIC",300,BLUNT INSTRUMENT,JA,Juv Arrest,930,,8360 FLORENCE ST,FIGUEROA ST,33.8178,-117.968455
230124386,10/12/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1695,2,Rampart,1985,1,121,RAPE FORCIBLE,9094 3354,44,F,K,416,SINGLE FAMILY DWELLING,103,REVOLVER,AA,Adult Arrest,121,,5814 MAIN ST,,34.458151,-118.196887
228146201,02/17/2024 12:00:00 AM,02/14/2024 12:00:00 AM,2090,18,Southeast,768,2,420,THEFT FROM MOTOR VEHICLE - GRAND,6848 1167,39,M,H,161,GAS STATION,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,420,410,2629 FIGUEROA ST,,34.011906,-118.662907
228780262,07/28/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1037,7,Wilshire,1727,1,121,RAPE FORCIBLE,4039 8101,59,F,A,708,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,121,,7801 FIGUEROA ST,,33.769984,-118.463914
232033091,10/17/2023 12:00:00 AM,10/17/2023 12:00:00 AM,995,4,Hollenbeck,655,1,330,BURGLARY,2486 3883,5,F,W,486,PARK/PLAYGROUND,102,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,330,,771 MAIN ST,MAIN ST,34.108063,-118.542419
210240020,02/25/2024 12:00:00 AM,02/24/2024 12:00:00 AM,57,11,Northeast,1794,1,310,BURGLARY,9394 4535,82,F,W,503,MULTI-UNIT DWELLING,105,SHOTGUN,AA,Adult Arrest,310,,4144 HOOPER ST,,33.903142,-117.946147
232570023,01/21/2023 12:00:00 AM,01/18/2023 12:00:00 AM,620,6,Hollywood,172,2,625,OTHER ASSAULT,5592 3232,84,F,O,671,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,JO,Juv Other,625,330,4748 VERMONT ST,VERMONT AVE,33.858029,-118.47563
215011589,06/27/2020 12:00:00 AM,06/24/2020 12:00:00 AM,477,16,Foothill,1936,1,330,BURGLARY,7309 2333,40,F,F,129,STREET,200,KNIFE OR CUTTING INSTRUMENT,AO,Adult Other,330,,2679 MANCHESTER ST,MAIN ST,34.213984,-118.507535
212315700,04/24/2023 12:00:00 AM,04/24/2023 12:00:00 AM,362,7,Wilshire,356,2,900,SEX OFFENSES,1361 2660,36,F,O,192,PARK/PLAYGROUND,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,900,410,2503 BROADWAY ST,FIGUEROA ST,33.563112,-117.807558
226140598,05/14/2022 12:00:00 AM,05/13/2022 12:00:00 AM,1572,6,Hollywood,1721,1,230,ASSAULT WITH DEADLY WEAPON,4535 9640,31,F,K,756,MULTI-UNIT DWELLING,201,OTHER CUTTING INSTRUMENT,JO,Juv Other,230,745,3154 PICO ST,,34.14451,-117.965811
225489437,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1608,20,Olympic,637,1,330,BURGLARY,2885 6140,26,F,F,186,PARKING LOT,102,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,330,,5351 FIGUEROA ST,,33.558285,-118.392409
214611534,03/02/2020 12:00:00 AM,02/29/2020 12:00:00 AM,1818,16,Foothill,300,1,310,BURGLARY,5654 9636,22,F,B,857,DRIVEWAY,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,310,,7549 WESTERN ST,,33.792317,-118.709375
209064534,07/10/2020 12:00:00 AM,07/09/2020 12:00:00 AM,900,6,Hollywood,2018,2,900,SEX OFFENSES,2276 4988,11,F,H,795,RESTAURANT/FAST FOOD,105,SHOTGUN,IC,Invest Cont,900,,589 HOOPER ST,VERMONT AVE,33.814333,-118.659014
201104752,03/23/2021 12:00:00 AM,03/21/2021 12:00:00 AM,557,14,Pacific,1359,2,930,CRIMINAL THREATS,6984 1042,19,F,H,761,DRIVEWAY,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,930,,1002 HOOPER ST,,34.186588,-118.205292
